state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr
ACT,15,hazardous_recycling_tonnes,copper_water_kg,15,0.14903372751651972,-0.475,0.14903372751651972,0.475
ACT,15,hazardous_recycling_tonnes,pm25_air_kg,15,0.12720450871743347,0.42857142857142855,0.12720450871743347,0.42857142857142855
ACT,15,hazardous_recycling_tonnes,copper_air_kg,15,0.11651579669088347,0.35357142857142854,0.11651579669088347,0.35357142857142854
ACT,15,hazardous_recycling_tonnes,nickel_water_kg,15,0.10930568357422332,-0.457142857142857,0.10930568357422332,0.457142857142857
ACT,15,hazardous_recycling_tonnes,cadmium_water_kg,15,0.08967600950928195,0.014615681904837393,0.08967600950928195,0.014615681904837393
ACT,15,hazardous_recycling_tonnes,mercury_water_kg,15,0.07513650876335573,0.2834209518810208,0.07513650876335573,0.2834209518810208
ACT,15,hazardous_recycling_tonnes,chromium_water_kg,15,0.07429185789439545,-0.1881732517173217,0.07429185789439545,0.1881732517173217
ACT,15,hazardous_recycling_tonnes,total_air_emission_kg,15,-0.06517016261139094,0.16785714285714282,0.06517016261139094,0.16785714285714282
ACT,15,hazardous_recycling_tonnes,mercury_air_kg,15,-0.024374108024126515,-0.1464285714285714,0.024374108024126515,0.1464285714285714
ACT,15,hazardous_recycling_tonnes,pm10_land_kg,15,,,,
ACT,15,hazardous_recycling_tonnes,pm10_water_kg,15,,,,
ACT,15,hazardous_recycling_tonnes,pm25_land_kg,15,,,,
ACT,15,hazardous_recycling_tonnes,pm25_water_kg,15,,,,
ACT,15,hazardous_recycling_tonnes,tvoc_land_kg,15,,,,
ACT,15,hazardous_recycling_tonnes,tvoc_water_kg,15,,,,
NSW,15,ewaste_proxy_tonnes,tvoc_air_kg,15,-0.8001463657654175,-0.8535714285714284,0.8001463657654175,0.8535714285714284
NSW,15,ewaste_proxy_tonnes,lead_land_kg,15,0.7414795596862963,0.7321428571428571,0.7414795596862963,0.7321428571428571
NSW,15,ewaste_proxy_tonnes,zinc_land_kg,15,0.7154026605156425,0.6785714285714285,0.7154026605156425,0.6785714285714285
NSW,15,ewaste_proxy_tonnes,lead_air_kg,15,0.7010312599505741,0.6785714285714285,0.7010312599505741,0.6785714285714285
NSW,15,ewaste_proxy_tonnes,total_air_emission_kg,15,-0.6516030649384386,-0.8999999999999999,0.6516030649384386,0.8999999999999999
NSW,15,ewaste_proxy_tonnes,copper_water_kg,15,0.6383595286284489,0.6321428571428571,0.6383595286284489,0.6321428571428571
NSW,15,ewaste_proxy_tonnes,zinc_air_kg,15,0.5935426004272814,0.5678571428571427,0.5935426004272814,0.5678571428571427
NSW,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.5565997522769467,-0.7428571428571428,0.5565997522769467,0.7428571428571428
NSW,15,ewaste_proxy_tonnes,copper_air_kg,15,0.5344131448308774,0.47142857142857136,0.5344131448308774,0.47142857142857136
NSW,15,ewaste_proxy_tonnes,zinc_water_kg,15,-0.5209265302356656,-0.6678571428571428,0.5209265302356656,0.6678571428571428
NSW,15,ewaste_proxy_tonnes,mercury_water_kg,15,-0.5068906252461189,-0.6464285714285712,0.5068906252461189,0.6464285714285712
NSW,15,ewaste_proxy_tonnes,total_water_emission_kg,15,0.4953731882148206,0.457142857142857,0.4953731882148206,0.457142857142857
NSW,15,ewaste_proxy_tonnes,pm10_air_kg,15,0.4808282381890956,0.48214285714285704,0.4808282381890956,0.48214285714285704
NSW,15,ewaste_proxy_tonnes,chromium_air_kg,15,0.4437819248726891,0.5464285714285714,0.4437819248726891,0.5464285714285714
NSW,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.4229132301152678,0.557142857142857,0.4229132301152678,0.557142857142857
NSW,15,ewaste_proxy_tonnes,cadmium_water_kg,15,-0.3918209713297725,-0.5357142857142856,0.3918209713297725,0.5357142857142856
NSW,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.3913958681664063,-0.12142857142857141,0.3913958681664063,0.12142857142857141
NSW,15,ewaste_proxy_tonnes,chromium_water_kg,15,-0.38713296361542765,-0.8035714285714284,0.38713296361542765,0.8035714285714284
NSW,15,ewaste_proxy_tonnes,cadmium_air_kg,15,0.29891537625493114,0.3,0.29891537625493114,0.3
NSW,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.28805175006113165,-0.035714285714285705,0.28805175006113165,0.035714285714285705
NSW,15,ewaste_proxy_tonnes,tvoc_land_kg,15,-0.2740857495783125,-0.37115374447904503,0.2740857495783125,0.37115374447904503
