health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
potentially_avoidable_deaths,total_land_emission_kg,40,27,-0.0009708242209723564,-0.2660752330631313,0.2660752330631313,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,copper_water_kg,40,27,-0.05112266750606389,-0.24312042015620397,0.24312042015620397,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,zinc_land_kg,40,27,-0.016952231461627026,-0.23636904345971332,0.23636904345971332,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,cadmium_air_kg,40,27,0.7072132961689828,0.22488476299766308,0.22488476299766308,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,mercury_air_kg,40,27,-0.5299519913178461,-0.16846911289733416,0.16846911289733416,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,mercury_water_kg,40,27,38.49848021865324,0.16668701844341532,0.16668701844341532,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,mercury_land_kg,40,27,48.51231895511385,0.12991837583849072,0.12991837583849072,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,nickel_land_kg,40,27,-0.007263694626730435,-0.11348502027142046,0.11348502027142046,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,lead_air_kg,40,27,0.007277569242563327,0.11233584971928687,0.11233584971928687,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,zinc_water_kg,40,27,-0.008259329733653255,-0.08560313395603943,0.08560313395603943,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,chromium_water_kg,40,27,-0.0437701937447367,-0.05815564193787309,0.05815564193787309,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
